Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"4,15",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/VP,"1,13",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT,"5,03",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/EBIT *,"7,19",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PSR,"1,23",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
P/Ativos,"0,44",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LPA,"6,10",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VPA,"22,39",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação,"5,03",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
EBIT por ação *,"3,52",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ativo por ação,"57,16",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Receita líquida por ação,"20,63",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Margem bruta,"32,58%","32,39%","32,68%","32,04%","34,77%","32,70%","30,93%","26,54%","27,47%","33,25%","34,62%","32,12%","32,75%","32,29%","28,29%","31,42%","34,47%"
Margem líquida,"25,42%","24,12%","17,68%","15,86%","21,23%","47,85%","13,59%","0,19%","-0,39%","7,66%","13,66%","14,29%","16,64%","14,84%","9,67%","14,01%","20,23%"
Margem EBIT,"24,37%","25,02%","18,00%","16,87%","22,19%","57,66%","15,01%","1,67%","0,63%","7,49%","15,50%","16,51%","18,65%","17,36%","11,93%","15,31%","23,38%"
Margem EBIT *,"17,05%","18,31%","14,35%","12,27%","17,04%","13,95%","11,20%","4,20%","-0,22%","6,99%","14,54%","16,07%","17,25%","17,12%","13,35%","16,00%","21,09%"
Margem EBITDA,"25,60%","25,95%","19,07%","17,68%","23,49%","58,73%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,"18,29%","19,24%","15,42%","13,08%","18,34%","15,02%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,"26,99%","26,44%","20,19%","18,14%","23,08%","59,87%","15,79%","2,37%","2,04%","9,96%","15,90%","16,78%","19,17%","17,55%","12,74%","16,65%","23,02%"
ROE,"20,89%","19,31%","13,01%","11,15%","14,96%","31,56%","10,32%","0,11%","-0,17%","3,62%","8,88%","13,06%","14,43%","14,85%","12,03%","14,63%","20,14%"
ROA,"0,09","0,09","0,06","0,05","0,07","0,16","0,05","0,00","-0,00","0,02","0,05","0,06","0,06","0,06","0,04","0,06","0,08"
ROIC,"10,51%","11,11%","7,84%","6,79%","9,56%","23,36%","6,95%","0,63%","0,19%","2,34%","6,52%","8,11%","8,01%","8,37%","5,82%","6,77%","10,95%"
ROIC *,"7,35%","8,13%","6,25%","4,94%","7,34%","5,65%","5,19%","1,59%","-0,07%","2,19%","6,12%","7,90%","7,41%","8,26%","6,52%","7,08%","9,88%"
Giro do ativo,"0,36","0,38","0,36","0,33","0,35","0,33","0,39","0,32","0,26","0,27","0,34","0,43","0,37","0,41","0,45","0,41","0,39"
EBIT *,1.606 mi,1.458 mi,897 mi,664 mi,816 mi,533 mi,440 mi,132 mi,-7 mi,223 mi,631 mi,934 mi,926 mi,964 mi,818 mi,782 mi,862 mi
EBITDA,2.412 mi,2.066 mi,1.192 mi,956 mi,1.125 mi,2.245 mi,--,--,--,--,--,--,--,--,--,--,--
EBITDA *,1.723 mi,1.532 mi,964 mi,707 mi,878 mi,574 mi,--,--,--,--,--,--,--,--,--,--,--
Liquidez corrente,"3,84","3,27","2,83","2,48","3,11","2,88","2,44","3,52","3,01","3,48","2,78","2,13","2,24","2,28","2,00","2,09","2,27"
Liquidez seca,"2,35","1,99","1,76","1,44","1,74","1,59","1,24","1,68","1,55","1,87","1,73","1,38","1,61","1,57","1,31","1,30","1,57"
Liquidez imediata,"0,19","0,14","0,07","0,03","0,08","0,10","0,10","0,10","0,09","0,23","0,27","0,23","0,34","0,29","0,06","0,06","0,07"
Dívida bruta,8.717 mi,5.974 mi,5.158 mi,4.879 mi,3.641 mi,2.703 mi,2.504 mi,2.371 mi,2.574 mi,3.423 mi,3.741 mi,3.875 mi,4.213 mi,4.081 mi,4.589 mi,3.432 mi,2.623 mi
Dívida líquida,4.735 mi,2.921 mi,2.454 mi,2.022 mi,1.136 mi,861 mi,1.139 mi,966 mi,1.330 mi,1.893 mi,1.587 mi,2.602 mi,2.653 mi,2.403 mi,3.730 mi,2.582 mi,1.054 mi
Capital de giro,11.000 mi,8.412 mi,6.314 mi,5.465 mi,5.398 mi,3.952 mi,3.163 mi,4.239 mi,4.437 mi,5.640 mi,5.401 mi,4.584 mi,4.802 mi,5.147 mi,4.397 mi,4.268 mi,3.791 mi
Endividamento geral,"127,70%","113,49%","104,37%","115,09%","103,49%","97,25%","92,98%","77,49%","63,41%","75,56%","90,59%","110,76%","132,27%","141,76%","177,18%","157,21%","157,00%"
