Conta,1T2026 (TTM),2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"6,32","7,09","6,77","9,97","6,37","6,94","7,28","4,94","9,09","14,02","13,66","6,28","16,68","0,32","0,21","0,21","0,21","0,54"
P/VP,"1,01","1,15","0,74","1,03","0,96","1,32","0,97","0,72","1,70","1,88","1,31","0,80","0,63","0,01","0,01","0,01","0,01","0,02"
P/EBIT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
P/EBIT *,--,--,--,--,--,--,--,"3,90",--,--,--,--,--,--,--,--,--,--
PSR,"0,63","0,75","0,44","0,84","0,88","1,16","1,03","0,93","1,56","1,52","0,83","0,53","0,55","0,01","0,01","0,01","0,02","0,04"
P/Ativos,"0,08","0,09","0,07","0,08","0,07","0,11","0,10","0,08","0,14","0,16","0,10","0,06","0,06","0,00","0,00","0,00","0,00","0,00"
LPA,"2,06","2,06","1,74","1,18","1,65","2,00","1,87","1,88","1,62","1,07","0,74","0,93","0,29","0,22","0,43","0,48","0,51","0,24"
VPA,"12,96","12,69","0,00","11,46","10,93","10,51","0,00","0,00","8,70","7,93","7,70","7,31","7,64","8,38","8,47","8,75","8,65","8,61"
EBIT por ação,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EBIT por ação *,--,--,--,--,--,--,--,"2,38",--,--,--,--,--,--,--,--,--,--
Ativo por ação,"171,21","167,70","0,00","154,57","141,69","130,80","132,06","111,83","103,89","91,30","100,42","97,12","83,74","68,57","63,34","62,04","52,86","46,98"
Receita líquida por ação,"20,55","19,52","26,58","14,08","11,89","11,94","13,22","9,96","9,43","9,86","12,13","11,03","8,66","7,24","7,45","7,44","5,29","3,60"
Margem bruta,"16,06%","16,68%","11,45%","12,23%","20,14%","36,40%","16,13%","32,96%","29,35%","29,14%","25,63%","3,93%","21,20%","22,95%","28,65%","24,93%","35,23%","36,74%"
Margem líquida,"10,05%","10,57%","6,54%","8,40%","13,87%","16,75%","14,17%","18,85%","17,21%","10,82%","6,07%","8,45%","3,32%","2,99%","5,77%","6,40%","9,71%","6,67%"
Margem EBIT,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBIT *,--%,--%,--%,--%,--%,--%,--%,"23,87%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem EBITDA *,--%,--%,--%,--%,--%,--%,--%,"26,84%",--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Margem operacional,"9,85%","10,13%","6,86%","3,91%","14,46%","23,70%","7,82%","19,57%","17,90%","15,33%","13,88%","-0,60%","2,44%","0,52%","5,35%","5,39%","12,63%","9,19%"
ROE,"15,93%","16,24%","11,19%","10,32%","15,08%","19,02%","12,68%","17,11%","18,65%","13,44%","9,56%","12,74%","3,76%","2,59%","5,07%","5,44%","5,94%","2,79%"
ROA,"0,01","0,01","0,01","0,01","0,01","0,02","0,01","0,02","0,02","0,01","0,01","0,01","0,00","0,00","0,01","0,01","0,01","0,01"
ROIC,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
ROIC *,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
Giro do ativo,"0,12","0,12","0,11","0,09","0,08","0,09","0,10","0,09","0,09","0,11","0,12","0,11","0,10","0,11","0,12","0,12","0,10","0,08"
EBIT *,--,--,--,--,--,--,--,17.838 mi,--,--,--,--,--,--,--,--,--,--
EBITDA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
EBITDA *,--,--,--,--,--,--,--,20.055 mi,--,--,--,--,--,--,--,--,--,--
Liquidez corrente,"8,42","9,11",--,"1,02","0,96","0,91","0,84","0,85","0,94","0,82","0,83","0,87","0,92","0,89","0,90","0,91","0,89","0,98"
Liquidez seca,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Liquidez imediata,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dívida bruta,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Dívida líquida,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Capital de giro,798.215 mi,779.448 mi,--,18.456 mi,-41.560 mi,-53.177 mi,-83.512 mi,-89.732 mi,-30.409 mi,-81.323 mi,-90.866 mi,-62.154 mi,-31.833 mi,-34.344 mi,-28.206 mi,-25.294 mi,-25.128 mi,-2.981 mi
Endividamento geral,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%,--%
