Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"5,95","7,04","3,58","3,18","2,93","12,47","14,66","22,35","17,89","9,60","30,67","20,50","6,32","6,35","6,37","5,92","3,57"
P/VP,"0,69","0,54","0,63","0,41","0,66","1,21","0,73","0,51","0,61","0,27","0,27","0,48","0,49","0,53","0,56","0,76","0,84"
P/EBIT,"3,61","3,73","4,31","2,12","2,28","9,25","7,26","5,93","9,10","4,21","3,16","5,41","3,87","3,25","3,58","4,22","3,10"
P/EBIT *,"3,51","3,57","3,85","2,07","2,54","7,46","6,33","5,38","7,54","3,75","3,03","4,45","3,37","4,49","4,03","5,48","14,83"
PSR,"0,61","0,49","0,56","0,33","0,51","1,00","0,63","0,51","0,62","0,28","0,28","0,50","0,50","0,58","0,62","0,89","1,07"
P/Ativos,"0,38","0,31","0,37","0,22","0,36","0,66","0,42","0,29","0,37","0,16","0,16","0,29","0,29","0,32","0,33","0,44","0,51"
LPA,"3,45","2,14","4,56","2,78","4,62","1,56","0,71","0,31","0,45","0,36","0,11","0,30","0,96","0,95","0,95","1,30","2,15"
VPA,"29,88","27,76","25,99","21,73","20,39","15,99","14,32","13,64","13,36","12,97","12,67","12,55","12,30","11,54","10,77","10,12","9,09"
EBIT por ação,"5,68","4,03","3,78","4,18","5,94","2,10","1,43","1,18","0,89","0,83","1,10","1,12","1,57","1,87","1,69","1,82","2,47"
EBIT por ação *,"5,84","4,22","4,24","4,27","5,34","2,60","1,64","1,30","1,07","0,93","1,15","1,36","1,80","1,35","1,50","1,40","0,52"
Ativo por ação,"53,82","49,33","44,37","39,77","37,52","29,52","24,82","23,75","22,02","21,75","21,79","20,95","20,57","19,21","18,51","17,40","14,91"
Receita líquida por ação,"33,52","30,86","28,91","27,11","26,45","19,41","16,47","13,63","13,01","12,36","12,34","12,03","12,07","10,40","9,71","8,57","7,20"
Margem bruta,"37,19%","32,97%","32,81%","32,26%","35,40%","31,45%","28,05%","28,53%","27,34%","27,88%","29,09%","30,47%","33,63%","32,51%","35,43%","36,71%","29,59%"
Margem líquida,"10,28%","6,93%","15,77%","10,26%","17,47%","8,02%","4,30%","2,29%","3,48%","2,93%","0,92%","2,46%","7,95%","9,17%","9,81%","15,11%","29,88%"
Margem EBIT,"16,93%","13,06%","13,09%","15,41%","22,44%","10,81%","8,70%","8,65%","6,84%","6,69%","8,94%","9,30%","12,98%","17,93%","17,42%","21,23%","34,33%"
Margem EBIT *,"17,43%","13,67%","14,67%","15,75%","20,20%","13,41%","9,97%","9,54%","8,25%","7,52%","9,30%","11,30%","14,87%","12,97%","15,49%","16,32%","7,18%"
Margem EBITDA,"26,73%","17,17%","17,75%","22,50%","26,41%","18,79%","13,37%","18,54%","17,58%","17,10%","20,23%","20,54%","23,43%","28,31%","28,03%","30,84%","44,60%"
Margem EBITDA *,"27,22%","17,77%","19,32%","22,85%","24,16%","21,38%","14,64%","19,42%","18,99%","17,93%","20,60%","22,54%","25,32%","23,34%","26,10%","25,93%","17,46%"
Margem operacional,"14,45%","7,95%","12,15%","12,84%","21,46%","13,47%","6,25%","3,02%","2,60%","3,18%","-1,09%","3,79%","9,15%","11,84%","10,88%","17,09%","30,07%"
ROE,"11,53%","7,70%","17,54%","12,79%","22,67%","9,73%","4,95%","2,29%","3,39%","2,80%","0,90%","2,36%","7,80%","8,27%","8,84%","12,81%","23,66%"
ROA,"0,06","0,04","0,10","0,07","0,12","0,05","0,03","0,01","0,02","0,02","0,01","0,01","0,05","0,05","0,05","0,07","0,14"
ROIC,"12,62%","9,20%","9,34%","11,52%","18,02%","7,84%","6,27%","5,44%","4,39%","4,12%","5,52%","5,74%","8,17%","10,29%","9,82%","11,30%","17,39%"
ROIC *,"12,99%","9,63%","10,47%","11,78%","16,21%","9,73%","7,19%","6,00%","5,29%","4,63%","5,75%","6,98%","9,36%","7,44%","8,73%","8,69%","3,64%"
Giro do ativo,"0,62","0,63","0,65","0,68","0,70","0,66","0,66","0,57","0,59","0,57","0,57","0,57","0,59","0,54","0,52","0,49","0,48"
EBIT *,541 mi,390 mi,392 mi,395 mi,494 mi,240 mi,152 mi,120 mi,99 mi,86 mi,106 mi,125 mi,166 mi,124 mi,139 mi,129 mi,47 mi
EBITDA,829 mi,490 mi,475 mi,565 mi,646 mi,337 mi,203 mi,233 mi,211 mi,195 mi,231 mi,229 mi,262 mi,272 mi,252 mi,244 mi,297 mi
EBITDA *,845 mi,507 mi,517 mi,573 mi,591 mi,384 mi,223 mi,245 mi,228 mi,205 mi,235 mi,251 mi,283 mi,224 mi,234 mi,205 mi,116 mi
Liquidez corrente,"2,32","1,71","1,77","1,52","1,53","1,22","1,14","0,97","0,86","0,87","0,85","0,98","1,04","0,86","0,86","0,96","1,49"
Liquidez seca,"1,38","1,06","1,12","0,87","1,00","0,85","0,71","0,58","0,54","0,52","0,46","0,64","0,70","0,59","0,60","0,70","1,06"
Liquidez imediata,"0,62","0,26","0,04","0,03","0,05","0,01","0,01","0,01","0,01","0,03","0,01","0,02","0,03","0,01","0,02","0,02","0,03"
