Conta,4T2025 (TTM),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
P/L,"6,60","-14,08","-8,02","-7,23","-13,27","-24,88","-6,53","-12,97","-7,99","-15,01","-5,24","-9,73","-17,84","137,13","-308,66","-654,09","-62,90"
P/VP,"0,53","0,63","0,72","0,78","1,18","1,70","0,94","7,87","3,30","-8,13","-5,64","618,75","22,31","21,29","-189,59","-304,53","-136,05"
P/EBIT,"3,92","50,67","-15,14","-17,84","-25,14","-36,84","-12,61","-15,39","-9,21","-20,96","-7,37","-22,22","-33,25","-1.362,76","-328,01","-964,19","-71,00"
P/EBIT *,"-3,06","-2,76","-3,33","-4,23","-5,31","-9,25","-5,07","-14,02","-8,17","-21,57","-6,67","-11,40","-37,00","-99,82","-305,06","-562,88","-201,90"
PSR,"1,89","2,26","2,45","3,50","5,89","9,90","7,59","14,61","26,58","72,52","27,37","7,34","59,15","2.438,35","149.369,63",--,--
P/Ativos,"0,21","0,23","0,26","0,30","0,41","0,62","0,36","0,81","0,57","1,33","0,48","0,62","2,22","5,66","16,46","20,28","2,99"
LPA,"1,38","-0,65","-1,25","-1,65","-1,24","-1,04","-2,33","-2,20","-2,39","-2,66","-2,31","-1,15","-1,43","0,40","-0,47","-0,14","-0,20"
VPA,"17,18","14,53","13,98","15,25","14,03","15,23","16,15","3,63","5,78","-4,90","-2,15","0,02","1,14","2,57","-0,76","-0,29","-0,09"
EBIT por ação,"2,32","0,18","-0,66","-0,67","-0,66","-0,70","-1,21","-1,86","-2,07","-1,90","-1,64","-0,50","-0,77","-0,04","-0,44","-0,09","-0,18"
EBIT por ação *,"-2,97","-3,33","-3,00","-2,83","-3,11","-2,80","-3,00","-2,04","-2,34","-1,85","-1,81","-0,98","-0,69","-0,55","-0,48","-0,16","-0,06"
Ativo por ação,"43,27","40,10","39,26","39,57","40,19","41,61","42,14","35,16","33,59","30,00","25,05","17,98","11,50","9,68","8,81","4,38","4,25"
Receita líquida por ação,"4,81","4,06","4,09","3,41","2,80","2,62","2,00","1,96","0,72","0,55","0,44","1,53","0,43","0,02","0,00","0,00","0,00"
Margem bruta,"-35,03%","-52,16%","-46,66%","-53,90%","-80,49%","-71,84%","-104,60%","-59,22%","-163,66%","-184,86%","-259,60%","-16,96%","-36,83%","-301,66%","68,69%",--%,--%
Margem líquida,"28,62%","-16,07%","-30,55%","-48,43%","-44,40%","-39,81%","-116,29%","-112,62%","-332,66%","-483,25%","-522,56%","-75,45%","-331,49%","1.778,10%","-48.392,93%",--%,--%
Margem EBIT,"48,21%","4,46%","-16,17%","-19,64%","-23,43%","-26,88%","-60,17%","-94,91%","-288,66%","-345,98%","-371,31%","-33,05%","-177,89%","-178,93%","-45.538,38%",--%,--%
Margem EBIT *,"-61,68%","-81,92%","-73,50%","-82,86%","-110,88%","-107,04%","-149,69%","-104,23%","-325,34%","-336,18%","-410,07%","-64,43%","-159,86%","-2.442,84%","-48.964,65%",--%,--%
Margem EBITDA,"104,03%","69,64%","44,65%","49,96%","65,61%","53,62%","33,47%","-31,46%","-205,71%","-258,01%","-228,14%","8,43%","-170,37%","-122,25%","-44.751,52%",--%,--%
Margem EBITDA *,"-5,85%","-16,74%","-12,67%","-13,26%","-21,84%","-26,54%","-56,05%","-40,77%","-242,40%","-248,21%","-266,91%","-22,95%","-152,33%","-2.386,17%","-48.177,78%",--%,--%
Margem operacional,"37,16%","-16,07%","-30,55%","-48,43%","-44,40%","-39,81%","-116,29%","-112,62%","-332,66%","-483,17%","-522,56%","-75,45%","-331,49%","1.778,10%","-48.392,93%",--%,--%
ROE,"8,02%","-4,49%","-8,93%","-10,83%","-8,86%","-6,84%","-14,42%","-60,70%","-41,34%","54,17%","107,71%","-6.357,42%","-125,01%","15,52%","61,42%","46,56%","216,28%"
ROA,"0,03","-0,02","-0,03","-0,04","-0,03","-0,03","-0,06","-0,06","-0,07","-0,09","-0,09","-0,06","-0,12","0,04","-0,05","-0,03","-0,05"
ROIC,"8,64%","0,69%","-2,52%","-2,48%","-2,27%","-2,24%","-3,62%","-5,67%","-6,82%","-7,09%","-8,30%","-4,07%","-13,00%","-1,23%","-20,62%","-5,69%","-11,82%"
ROIC *,"-11,05%","-12,58%","-11,44%","-10,47%","-10,75%","-8,94%","-9,00%","-6,22%","-7,69%","-6,89%","-9,16%","-7,93%","-11,68%","-16,76%","-22,17%","-9,75%","-4,16%"
Giro do ativo,"0,11","0,10","0,10","0,09","0,07","0,06","0,05","0,06","0,02","0,02","0,02","0,08","0,04","0,00","0,00","0,00","0,00"
EBIT *,-303 mi,-340 mi,-307 mi,-289 mi,-317 mi,-286 mi,-306 mi,-209 mi,-239 mi,-189 mi,-185 mi,-101 mi,-71 mi,-56 mi,-49 mi,-17 mi,-7 mi
EBITDA,510 mi,288 mi,186 mi,173 mi,187 mi,143 mi,68 mi,-63 mi,-151 mi,-145 mi,-103 mi,13 mi,-75 mi,-3 mi,-45 mi,-10 mi,--
EBITDA *,-29 mi,-70 mi,-53 mi,-47 mi,-63 mi,-71 mi,-115 mi,-82 mi,-178 mi,-140 mi,-121 mi,-36 mi,-67 mi,-55 mi,-48 mi,-16 mi,--
Liquidez corrente,"6,29","5,65","5,73","4,75","4,50","4,37","5,04","1,80","1,59","4,54","1,31","0,83","1,99","3,55","1,06","3,19","3,21"
Liquidez seca,"6,29","5,65","5,73","4,75","4,50","4,37","5,04","1,80","1,59","4,54","1,31","0,83","1,99","3,55","1,06","3,19","3,21"
Liquidez imediata,"1,90","1,35","1,36","1,10","0,84","0,48","3,64","0,81","0,86","2,90","0,80","0,00","0,00","3,19","0,95","2,79","2,98"
Dívida bruta,19 mi,55 mi,104 mi,153 mi,209 mi,270 mi,274 mi,255 mi,251 mi,249 mi,244 mi,0 mi,0 mi,0 mi,0 mi,0 mi,0 mi
Dívida líquida,-1.501 mi,-1.193 mi,-1.099 mi,-1.022 mi,-887 mi,-696 mi,-578 mi,99 mi,50 mi,-35 mi,-14 mi,-250 mi,-450 mi,-578 mi,-636 mi,-281 mi,-279 mi
Capital de giro,1.942 mi,1.461 mi,1.326 mi,1.207 mi,1.133 mi,1.015 mi,945 mi,154 mi,135 mi,345 mi,101 mi,-81 mi,286 mi,460 mi,37 mi,220 mi,206 mi
Endividamento geral,"151,84%","175,98%","180,83%","159,49%","186,50%","173,24%","161,00%","867,86%","480,72%","-711,86%","-1.267,73%","99.225,14%","906,20%","275,88%","-1.252,05%","-1.601,94%","-4.649,13%"
